File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\deinterlace\common.c,1.2133334,-0.12,1.3333334,0.0,225,9,13,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\xcb\render.c,1.204762,-0.12857144,1.3333334,0.0,560,24,36,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\rawaud.c,1.1946051,-0.13872832,1.3333334,0.0,173,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\http\h1conn_test.c,1.1912282,-0.14210527,1.3333334,0.0,190,9,12,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\mms\buffer.c,1.186094,-0.14723927,1.3333334,0.0,163,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\opengl\sub_renderer.c,1.15,-0.25,1.4,0.0,280,14,22,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\asf\asf.c,1.1410602,-0.14465408,1.2857143,0.0,1113,23,31,9,4,7,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\utils.c,1.127999,-0.3005725,1.4285715,0.0,1048,45,60,10,3,7,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\input\es_out.c,1.1270456,-0.039621018,1.1666666,0.0,3483,23,27,7,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\fdkaac.c,1.1198225,-0.13017751,1.25,0.0,338,11,15,5,4,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\kms.c,1.1075269,-0.22580646,1.3333334,0.0,558,21,33,8,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\vdpau\deinterlace.c,1.1025641,-0.23076925,1.3333334,0.0,104,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_out\rtsp.c,1.0969697,-0.10303031,1.2,0.0,825,17,24,6,4,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\gaussianblur.c,1.0948356,-0.30516434,1.4,0.0,213,13,21,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\android\thread.c,1.085627,-0.24770643,1.3333334,0.0,218,18,22,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\notify\notify.c,1.0845865,-0.16541353,1.25,0.0,266,11,15,5,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\ty.c,1.083998,-0.0826686,1.1666666,0.0,1379,19,23,7,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\omxil.c,1.0835724,-0.16642755,1.25,0.0,1394,29,37,10,5,8,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\mmal\converter.c,1.0806366,-0.1193634,1.2,0.0,754,18,22,6,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\playlist\playlist.c,1.0714285,-0.26190478,1.3333334,0.0,126,11,14,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\faad.c,1.0708424,-0.52915764,1.6,0.0,463,49,59,8,6,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\grain.c,1.0620483,-0.73795176,1.2,0.6,332,49,79,6,4,5,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\os2\getaddrinfo.c,1.0462264,-0.35377356,1.4,0.0,212,15,21,7,7,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\telx.c,1.0422078,-0.20779221,1.25,0.0,539,28,32,5,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\modules\modules.c,1.0386178,-0.21138212,1.25,0.0,246,13,18,5,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\control\dummy.c,1.0384616,-0.46153846,1.5,0.0,26,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\media_source\media_tree.c,1.0236559,-0.37634408,1.4,0.0,279,21,32,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\sftp.c,1.0212032,-0.22879684,1.25,0.0,507,29,38,5,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\audiotoolbox_midi.c,1.0187075,-0.23129252,1.25,0.0,294,17,24,5,4,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\avcodec\d3d11va.c,0.9993017,-0.6256983,1.25,0.375,537,42,63,10,7,8,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\player\player.c,0.99821323,-0.0017867779,1.0,0.0,1679,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\dvb\scan.c,0.99812853,-0.001871491,1.0,0.0,1603,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\video_output\vout_subpictures.c,0.99809283,-0.0019071837,1.0,0.0,1573,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_out\rtpfmt.c,0.9980855,-0.0019144863,1.0,0.0,1567,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_filter\hds\hds.c,0.99801457,-0.00198544,1.0,0.0,1511,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\linsys\linsys_sdi.c,0.9979757,-0.0020242915,1.0,0.0,1482,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\mediacodec.c,0.99784017,-0.0021598272,1.0,0.0,1389,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\audio_output\mmdevice.c,0.997449,-0.0025510204,1.0,0.0,1176,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mp4\essetup.c,0.99738675,-0.0026132404,1.0,0.0,1148,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\mux\mp4\mp4.c,0.9973799,-0.0026200872,1.0,0.0,1145,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mpeg\es.c,0.9973684,-0.002631579,1.0,0.0,1140,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\schroedinger.c,0.997307,-0.0026929982,1.0,0.0,1114,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\keystore\kwallet.c,0.9971401,-0.0028598665,1.0,0.0,1049,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\packetizer\mpeg4audio.c,0.9971182,-0.0028818443,1.0,0.0,1041,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\lib\media.c,0.9970385,-0.0029615005,1.0,0.0,1013,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\mux\asf.c,0.99702084,-0.002979146,1.0,0.0,1007,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\audio_output\auhal.c,0.99688715,-0.0031128405,1.0,0.0,1285,4,4,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\nvdec\nvdec.c,0.9968652,-0.0031347962,1.0,0.0,957,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\control\dbus\dbus.c,0.99682873,-0.0031712474,1.0,0.0,946,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\packetizer\h264.c,0.99676377,-0.003236246,1.0,0.0,927,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\subsusf.c,0.99671054,-0.0032894737,1.0,0.0,912,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\vaapi\filters.c,0.9966814,-0.003318584,1.0,0.0,904,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\mediacodec_jni.c,0.99659866,-0.0034013605,1.0,0.0,882,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\packetizer\hevc.c,0.99659866,-0.0034013605,1.0,0.0,882,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\visualization\visual\effects.c,0.9965318,-0.003468208,1.0,0.0,865,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\subsdec.c,0.99643284,-0.003567182,1.0,0.0,841,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\hxxx_helper.c,0.99639857,-0.0036014405,1.0,0.0,833,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\audio_output\pulse.c,0.9963724,-0.0036275694,1.0,0.0,827,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\player\input.c,0.9963592,-0.0036407767,1.0,0.0,824,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\misc\update_crypto.c,0.99625,-0.00375,1.0,0.0,800,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\http\message.c,0.9962025,-0.0037974683,1.0,0.0,790,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\spu\subsdelay.c,0.9961977,-0.0038022813,1.0,0.0,789,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\vdpau\chroma.c,0.9961929,-0.0038071065,1.0,0.0,788,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\kva.c,0.9961929,-0.0038071065,1.0,0.0,788,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\misc\addons\fsstorage.c,0.996124,-0.003875969,1.0,0.0,774,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\puzzle_mgt.c,0.9960733,-0.0039267014,1.0,0.0,764,3,3,1,1,1,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\caf.c,0.9960422,-0.003957784,1.0,0.0,758,3,3,1,1,1,0,true
