"sep=,"
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_async.h.xml,LV_ASYNC_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_bidi.c.xml,LV_USE_BIDI
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_bidi.h.xml,LV_BIDI_H;LV_CONF_INCLUDE_SIMPLE;LV_USE_BIDI;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_circ.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_circ.h.xml,LV_CIRC_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_color.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_color.h.xml,LV_COLOR_16_SWAP;LV_COLOR_DEPTH;LV_COLOR_H;LV_COLOR_SCREEN_TRANSP;LV_CONF_INCLUDE_SIMPLE;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_fs.c.xml,LV_GC_INCLUDE;LV_USE_FILESYSTEM;free
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_fs.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_FS_H;LV_USE_FILESYSTEM;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_gc.c.xml,LV_ENABLE_GC;LV_GC_INCLUDE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_gc.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_ENABLE_GC;LV_GC_H;LV_MEM_CUSTOM;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_ll.c.xml,LV_MEM_ENV64
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_ll.h.xml,LV_LL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_log.c.xml,LV_LOG_PRINTF;LV_USE_LOG
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_log.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_LOG_H;LV_LOG_LEVEL;LV_LOG_LEVEL_ERROR;LV_LOG_LEVEL_INFO;LV_LOG_LEVEL_TRACE;LV_LOG_LEVEL_WARN;LV_USE_LOG;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_math.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_math.h.xml,LV_MATH_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_mem.c.xml,LV_ARCH_64;LV_ENABLE_GC;LV_MEM_ADD_JUNK;LV_MEM_ADR;LV_MEM_AUTO_DEFRAG;LV_MEM_CUSTOM
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_mem.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_MEM_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_printf.c.xml,LV_SPRINTF_CUSTOM;PRINTF_DEFAULT_FLOAT_PRECISION;PRINTF_DISABLE_SUPPORT_EXPONENTIAL;PRINTF_DISABLE_SUPPORT_FLOAT;PRINTF_DISABLE_SUPPORT_LONG_LONG;PRINTF_DISABLE_SUPPORT_PTRDIFF_T;PRINTF_FTOA_BUFFER_SIZE;PRINTF_MAX_FLOAT;PRINTF_NTOA_BUFFER_SIZE;PRINTF_SUPPORT_EXPONENTIAL;PRINTF_SUPPORT_FLOAT;PRINTF_SUPPORT_LONG_LONG;PRINTF_SUPPORT_PTRDIFF_T
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_printf.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_SPRINTF_CUSTOM;_LV_PRINTF_H_;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_task.c.xml,LV_GC_INCLUDE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_task.h.xml,LV_ATTRIBUTE_TASK_HANDLER;LV_CONF_INCLUDE_SIMPLE;LV_TASK_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_templ.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_templ.h.xml,LV_TEMPL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_txt.c.xml,LV_TXT_ENC;LV_TXT_ENC_ASCII;LV_TXT_ENC_UTF8;LV_TXT_LINE_BREAK_LONG_LEN
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_txt.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_TXT_COLOR_CMD;LV_TXT_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_types.h.xml,LV_ARCH_64;LV_TYPES_H;_WIN64;__GNUC__;__cplusplus;__ppc64__;__x86_64__
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_utils.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_utils.h.xml,LV_UTILS_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_arc.c.xml,LV_USE_ARC
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_arc.h.xml,LV_ARC_H;LV_CONF_INCLUDE_SIMPLE;LV_USE_ARC;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_bar.c.xml,LV_USE_ANIMATION;LV_USE_BAR;LV_USE_GROUP
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_bar.h.xml,LV_BAR_H;LV_CONF_INCLUDE_SIMPLE;LV_USE_ANIMATION;LV_USE_BAR;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_btn.c.xml,LV_BTN_INK_EFFECT;LV_USE_ANIMATION;LV_USE_BTN
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_btn.h.xml,LV_BTN_H;LV_BTN_INK_EFFECT;LV_CONF_INCLUDE_SIMPLE;LV_USE_BTN;LV_USE_CONT;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_btnm.c.xml,LV_USE_BTNM;LV_USE_GROUP
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_objx\lv_btnm.h.xml,LV_BTNM_H;LV_CONF_INCLUDE_SIMPLE;LV_USE_BTNM;__cplusplus
