"sep=,"
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_setiv_rfc7905.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_test.c.xml,LTC_CHACHA20POLY1305_MODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_addheader.c.xml,LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_decrypt.c.xml,LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_decrypt_verify_memory.c.xml,LTC_CLEAN_STACK;LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_done.c.xml,LTC_CLEAN_STACK;LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_encrypt.c.xml,LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_encrypt_authenticate_memory.c.xml,LTC_CLEAN_STACK;LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_init.c.xml,LTC_CLEAN_STACK;LTC_EAX_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\eax\eax_test.c.xml,LTC_EAX_MODE;LTC_TEST;LTC_TEST_DBG
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_add_aad.c.xml,LTC_FAST;LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_add_iv.c.xml,LTC_FAST;LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_done.c.xml,LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_gf_mult.c.xml,ENDIAN_32BITWORD;LRW_MODE;LTC_FAST;LTC_GCM_MODE;LTC_GCM_TABLES;LTC_LRW_TABLES
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_init.c.xml,LTC_FAST;LTC_GCM_MODE;LTC_GCM_TABLES
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_memory.c.xml,LTC_GCM_MODE;LTC_GCM_TABLES_SSE2
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_mult_h.c.xml,LTC_FAST;LTC_GCM_MODE;LTC_GCM_TABLES;LTC_GCM_TABLES_SSE2
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_process.c.xml,LTC_FAST;LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_reset.c.xml,LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\gcm\gcm_test.c.xml,LTC_GCM_MODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_add_aad.c.xml,LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_decrypt.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_decrypt_last.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_decrypt_verify_memory.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_done.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_encrypt.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_encrypt_authenticate_memory.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_encrypt_last.c.xml,LTC_CLEAN_STACK;LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_init.c.xml,LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_int_ntz.c.xml,LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_int_xor_blocks.c.xml,LTC_OCB3_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb3\ocb3_test.c.xml,LTC_OCB3_MODE;LTC_TEST;LTC_TEST_DBG
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_decrypt.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_decrypt_verify_memory.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_done_decrypt.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_done_encrypt.c.xml,LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_encrypt.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_encrypt_authenticate_memory.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_init.c.xml,LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_ntz.c.xml,LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_shift_xor.c.xml,LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\ocb_test.c.xml,LTC_OCB_MODE;LTC_TEST;LTC_TEST_DBG
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ocb\s_ocb_done.c.xml,LTC_CLEAN_STACK;LTC_OCB_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\blake2b.c.xml,LTC_BLAKE2B;LTC_CLEAN_STACK;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\blake2s.c.xml,LTC_BLAKE2S;LTC_CLEAN_STACK;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\chc\chc.c.xml,LTC_CHC_HASH;LTC_CLEAN_STACK;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\helper\hash_file.c.xml,LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\helper\hash_filehandle.c.xml,LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\helper\hash_memory.c.xml,LTC_CLEAN_STACK;LTC_HASH_HELPERS
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\helper\hash_memory_multi.c.xml,LTC_CLEAN_STACK;LTC_HASH_HELPERS
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\md2.c.xml,LTC_CLEAN_STACK;LTC_MD2;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\md4.c.xml,LTC_CLEAN_STACK;LTC_MD4;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\md5.c.xml,LTC_CLEAN_STACK;LTC_MD5;LTC_SMALL_CODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\rmd128.c.xml,LTC_CLEAN_STACK;LTC_RIPEMD128;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\rmd160.c.xml,LTC_CLEAN_STACK;LTC_RIPEMD160;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\rmd256.c.xml,LTC_CLEAN_STACK;LTC_RIPEMD256;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\rmd320.c.xml,LTC_CLEAN_STACK;LTC_RIPEMD320;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\sha1.c.xml,LTC_CLEAN_STACK;LTC_SHA1;LTC_SMALL_CODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\sha2\sha224.c.xml,LTC_CLEAN_STACK;LTC_SHA224;LTC_SHA256;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\sha2\sha256.c.xml,LTC_CLEAN_STACK;LTC_SHA256;LTC_SMALL_CODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\sha2\sha384.c.xml,LTC_CLEAN_STACK;LTC_SHA384;LTC_SHA512;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\hashes\sha2\sha512.c.xml,LTC_CLEAN_STACK;LTC_SHA512;LTC_SMALL_CODE;LTC_TEST
