"sep=,"
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\eval_error.c.xml,HAVE_BUILTIN___BUILTIN_CONSTANT_P
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\eval_intern.h.xml,CharNext;DOSISH;EXIT_FAILURE;EXIT_SUCCESS;HAVE_CRT_EXTERNS_H;HAVE_MBLEN;HAVE_NET_SOCKET_H;HAVE_SELECT_LARGE_FDSET;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_SYS_PARAM_H;HAVE_SYS_SELECT_H;HAVE_UNISTD_H;RUBY_EVAL_INTERN_H;_MSC_VER;__APPLE__;__CYGWIN__;__GNUC_MINOR__;__GNUC__;__MINGW32__;__clang__;_longjmp;_setjmp
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\eval_jump.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\arith_seq\extract\extract.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\array\resize\resize.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\big2str.c.xml,HAVE_GMP_H;HAVE_LIBGMP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\bigzero.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\div.c.xml,HAVE_GMP_H;HAVE_LIBGMP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\intpack.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\mul.c.xml,HAVE_GMP_H;HAVE_LIBGMP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bignum\str2big.c.xml,HAVE_GMP_H;HAVE_LIBGMP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bug-14834\bug-14384.c.xml,MAYBE_UNUSED
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bug-3571\bug.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bug-5832\bug.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\bug_reporter\bug_reporter.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\class\class2name.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\class\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\debug\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\debug\inspector.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\debug\profile_frames.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\dln\empty\empty.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\enumerator_kw\enumerator_kw.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\exception\dataerror.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\exception\enc_raise.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\exception\ensured.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\exception\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\fatal\rb_fatal.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\file\fs.c.xml,HAVE_STRUCT_STATFS_F_FLAGS;HAVE_STRUCT_STATFS_F_FSTYPENAME;HAVE_STRUCT_STATFS_F_TYPE;HAVE_STRUCT_STATFS_T_F_FSTYPENAME;HAVE_STRUCT_STATFS_T_F_TYPE;HAVE_STRUCT_STATVFS_F_BASETYPE;HAVE_STRUCT_STATVFS_F_FSTYPENAME;HAVE_STRUCT_STATVFS_F_TYPE;HAVE_SYS_MOUNT_H;HAVE_SYS_PARAM_H;HAVE_SYS_STATVFS_H;HAVE_SYS_VFS_H;MNT_NOATIME;MNT_STRICTATIME;STATFS;ST_NOATIME
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\file\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\file\stat.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\float\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\float\nextafter.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\funcall\funcall.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\gvl\call_without_gvl\call_without_gvl.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\hash\delete.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\hash\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\integer\core_ext.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\integer\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\integer\my_integer.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\iseq_load\iseq_load.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\iter\break.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\iter\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\iter\yield.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\load\dot.dot\dot.dot.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\load\protect\protect.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\marshal\compat\usrcompat.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\marshal\internal_ivar\internal_ivar.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\marshal\usr\usrmarshal.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\memory_status\memory_status.c.xml,MACH_TASK_BASIC_INFO;ULL2NUM;_WIN32;__APPLE__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\method\arity.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\method\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\notimplement\bug.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\num2int\num2int.c.xml,HAVE_LONG_LONG
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\path_to_class\path_to_class.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\popen_deadlock\infinite_loop_dlsym.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\postponed_job\postponed_job.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\printf\printf.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\proc\init.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\proc\receiver.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\proc\super.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\rational\rat.c.xml,HAVE_GMP_H;HAVE_LIBGMP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\rb_call_super_kw\rb_call_super_kw.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\recursion\recursion.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ext\-test-\regexp\init.c.xml,
