"sep=,"
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\dict.c.xml,FEAT_EVAL;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\diff.c.xml,FEAT_BROWSE;FEAT_DIFF;FEAT_EVAL;FEAT_FOLDING;FEAT_GUI;FEAT_JOB_CHANNEL;MSWIN;PROTO;TEMPDIRNAMES;UNIX
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\digraph.c.xml,EBCDIC;FEAT_CMDL_INFO;FEAT_CRYPT;FEAT_DIGRAPHS;FEAT_EVAL;FEAT_KEYMAP;HPUX_DIGRAPHS;OLD_DIGRAPHS;PROTO;USE_UNICODE_DIGRAPHS;__MINT__
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\dlldata.c.xml,__cplusplus
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\dosinst.c.xml,_M_ARM64;_M_X64
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\dosinst.h.xml,CSIDL_COMMON_DESKTOPDIRECTORY;CSIDL_COMMON_PROGRAMS;DOSINST;FALSE;KEY_WOW64_32KEY;KEY_WOW64_64KEY;TRUE;UNIX_LINT;_WIN64
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\drawline.c.xml,FEAT_ARABIC;FEAT_CLIPBOARD;FEAT_CMDWIN;FEAT_CONCEAL;FEAT_DIFF;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_GTK;FEAT_LINEBREAK;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SEARCH_EXTRA;FEAT_SIGNS;FEAT_SIGN_ICONS;FEAT_SPELL;FEAT_SYN_HL;FEAT_TERMINAL;FEAT_VARTABS;FEAT_X11;FEAT_XIM;LINE_ATTR;SYN_TIME_LIMIT
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\drawscreen.c.xml,FEAT_ARABIC;FEAT_CLIPBOARD;FEAT_CMDL_INFO;FEAT_CMDWIN;FEAT_CONCEAL;FEAT_DIFF;FEAT_EVAL;FEAT_FOLDING;FEAT_GUI;FEAT_JOB_CHANNEL;FEAT_LINEBREAK;FEAT_MENU;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SEARCH_EXTRA;FEAT_SIGNS;FEAT_STL_OPT;FEAT_SYN_HL;FEAT_TERMINAL;FEAT_TERMRESPONSE;FEAT_TITLE;FEAT_VTP;FEAT_WILDMENU;HAVE_DROP_FILE;PROTO;SYN_TIME_LIMIT
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\edit.c.xml,CURSOR_SHAPE;EBCDIC;EXITFREE;FEAT_CINDENT;FEAT_CLIENTSERVER;FEAT_CMDL_INFO;FEAT_CMDWIN;FEAT_COMPL_FUNC;FEAT_CONCEAL;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_DND;FEAT_EVAL;FEAT_FIND_ID;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_GTK;FEAT_GUI_MSWIN;FEAT_GUI_TABLINE;FEAT_JOB_CHANNEL;FEAT_KEYMAP;FEAT_LINEBREAK;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SIGNS;FEAT_SMARTINDENT;FEAT_SPELL;FEAT_SYN_HL;FEAT_VARTABS;FEAT_XIM;HAVE_INPUT_METHOD;HAVE_SANDBOX;MACOS_X;PROTO;UNIX;USE_ON_FLY_SCROLL
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\eval.c.xml,EBCDIC;EXITFREE;FEAT_EVAL;FEAT_FLOAT;FEAT_FOLDING;FEAT_JOB_CHANNEL;FEAT_LUA;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_TERMINAL;FEAT_TIMERS;MSWIN;PROTO;UNIX;VMS
