FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\tui\tui.c,402,"static void tui_main(UIBridgeData * bridge, UI * ui)",1.7727273,0.27272728,1.5,0.0,44,6,9,2,3,3,0,0,false
neovim\src\nvim\msgpack_rpc\helpers.c,85,"bool msgpack_rpc_to_object(const msgpack_object * const obj, Object * const arg) FUNC_ATTR_NONNULL_ALL",1.7711865,0.27118644,1.5,0.0,177,12,20,4,6,2,0,2,false
neovim\src\nvim\ex_eval.c,342,int do_intthrow(cstack_T * cstack),1.7692308,0.7692308,1.0,0.0,26,10,10,2,2,1,0,0,false
neovim\src\nvim\ex_session.c,984,static char * get_view_file(int c),1.7564102,0.25641027,1.5,0.0,39,5,9,2,3,2,0,1,false
neovim\test\functional\fixtures\tty-test.c,82,"static void read_cb(uv_stream_t * stream, ssize_t cnt, const uv_buf_t * buf)",1.7564102,0.25641027,1.5,0.0,39,5,9,2,3,2,0,1,false
neovim\src\nvim\hashtab.c,186,void hash_debug_results(void),1.75,0.75,1.0,0.0,12,9,9,1,1,1,0,0,false
neovim\src\nvim\regexp.c,5805,"static void regdump(char_u * pattern, bt_regprog_T * r)",1.7142859,0.38095242,1.3333334,0.0,63,8,12,3,4,2,0,1,false
neovim\src\nvim\fileio.c,3888,static int buf_write_bytes(struct bw_info * ip),1.703125,0.703125,1.0,0.0,128,45,45,2,2,2,0,0,false
neovim\src\nvim\os\env.c,870,char * vim_getenv(const char * name),1.6818182,0.6818182,1.0,0.0,88,20,20,3,3,2,0,0,false
neovim\src\nvim\ex_cmds2.c,4083,static void init_locales(void),1.6666667,0.6666667,1.0,0.0,9,6,6,1,1,1,0,1,false
neovim\src\nvim\tui\tui.c,1258,static void tui_suspend(UI * ui),1.625,0.625,1.0,0.0,8,5,5,1,1,1,0,0,false
neovim\src\nvim\mbyte.c,2220,"int convert_setup_ext(vimconv_T * vcp, char_u * from, bool from_unicode_is_utf8, char_u * to, bool to_unicode_is_utf8)",1.6153846,0.61538464,1.0,0.0,52,16,16,2,2,1,0,0,false
neovim\src\nvim\tui\tui.c,2015,static const char * tui_get_stty_erase(void),1.6153846,0.61538464,1.0,0.0,13,8,8,1,1,1,0,0,false
neovim\src\nvim\option.c,527,static void set_runtimepath_default(void),1.6111112,0.11111111,1.5,0.0,90,5,9,2,3,2,0,1,false
neovim\src\nvim\spell.c,5180,static void suggest_try_soundalike(suginfo_T * su),1.6,0.6,1.0,0.0,20,6,6,2,2,1,0,0,false
