"sep=,"
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\ipc-util\ipc-util\pipe.h.xml,_MSC_VER;_WIN32;__cplusplus;inline
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\android\jansson_config.h.xml,JANSSON_CONFIG_H;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\doc\github_commits.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\examples\simple_parse.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\dump.c.xml,_GNU_SOURCE
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\error.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\hashtable.c.xml,HAVE_CONFIG_H;HAVE_STDINT_H;INITIAL_HASHTABLE_ORDER
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\hashtable.h.xml,HASHTABLE_H
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\hashtable_seed.c.xml,HAVE_ATOMIC_BUILTINS;HAVE_CLOSE;HAVE_CONFIG_H;HAVE_FCNTL_H;HAVE_GETPID;HAVE_GETTIMEOFDAY;HAVE_OPEN;HAVE_READ;HAVE_SCHED_H;HAVE_SCHED_YIELD;HAVE_STDINT_H;HAVE_SYNC_BUILTINS;HAVE_SYS_STAT_H;HAVE_SYS_TIME_H;HAVE_SYS_TYPES_H;HAVE_UNISTD_H;USE_URANDOM;USE_WINDOWS_CRYPTOAPI;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\jansson.h.xml,JANSSON_H;JANSSON_USING_CMAKE;JSON_INTEGER_IS_LONG_LONG;_WIN32;__GNUC__;__clang__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\jansson_private.h.xml,JANSSON_PRIVATE_H;WIN32;_MSC_VER;_WIN32;__va_copy;max;snprintf;va_copy;vsnprintf
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\load.c.xml,JANSSON_USING_CMAKE;JSON_INTEGER_IS_LONG_LONG;NDEBUG;_GNU_SOURCE;_MSC_VER
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\lookup3.h.xml,HAVE_CONFIG_H;HAVE_ENDIAN_H;HAVE_STDINT_H;HAVE_SYS_PARAM_H;MIPSEL;NO_MASKING_TRICK;POWERPC;VALGRIND;__BIG_ENDIAN;__BYTE_ORDER;__LITTLE_ENDIAN;__SANITIZE_ADDRESS__;__has_feature;__i386__;__i486__;__i586__;__i686__;i386;mc68000;sel;sparc;vax
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\memory.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\pack_unpack.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\strbuffer.c.xml,_GNU_SOURCE
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\strbuffer.h.xml,STRBUFFER_H
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\strconv.c.xml,HAVE_CONFIG_H;JSON_HAVE_LOCALECONV;__MINGW32__
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\utf.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\utf.h.xml,HAVE_CONFIG_H;HAVE_STDINT_H;UTF_H
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\src\value.c.xml,HAVE_CONFIG_H;HAVE_STDINT_H;_GNU_SOURCE;__sun;isinf;isnan
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\test\bin\json_process.c.xml,HAVE_CONFIG_H;HAVE_LOCALE_H;HAVE_SETLOCALE;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\jansson\test\suites\api\test_array.c.xml,
