FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_objx\lv_slider.c,241,"static bool lv_slider_design(lv_obj_t * slider, const lv_area_t * mask, lv_design_mode_t mode)",3.17734,2.0344827,1.1428572,0.0,203,59,70,7,8,3,0,1,false
lvgl\src\lv_hal\lv_hal_disp.c,56,void lv_disp_drv_init(lv_disp_drv_t * driver),3.1666667,2.1666667,1.0,0.0,24,13,13,4,4,4,0,0,false
lvgl\src\lv_objx\lv_page.c,574,"void lv_page_scroll_hor(lv_obj_t * page, lv_coord_t dist)",3.1363635,1.6363636,1.5,0.0,22,18,22,2,3,2,0,1,false
lvgl\src\lv_objx\lv_page.c,603,"void lv_page_scroll_ver(lv_obj_t * page, lv_coord_t dist)",3.1363635,1.6363636,1.5,0.0,22,18,22,2,3,2,0,1,false
lvgl\src\lv_objx\lv_img.c,124,"void lv_img_set_src(lv_obj_t * img, const void * src_img)",3.1311476,0.13114753,3.0,0.0,61,8,24,1,3,3,0,0,false
lvgl\src\lv_objx\lv_lmeter.c,432,static lv_coord_t lv_lmeter_coord_round(int32_t x),3.1,1.6,1.5,0.0,15,12,16,2,3,2,0,1,false
lvgl\src\lv_core\lv_obj.c,2162,lv_bidi_dir_t lv_obj_get_base_dir(const lv_obj_t * obj),3.0714285,1.5714285,1.5,0.0,14,11,16,2,3,2,0,1,false
lvgl\src\lv_hal\lv_hal_tick.c,62,uint32_t lv_tick_get(void),3.0384617,1.5384616,1.5,0.0,13,10,14,2,3,2,0,1,false
lvgl\src\lv_objx\lv_imgbtn.c,53,"lv_obj_t * lv_imgbtn_create(lv_obj_t * par, const lv_obj_t * copy)",3.0135136,1.5135136,1.5,0.0,37,14,26,4,6,2,0,2,false
lvgl\src\lv_objx\lv_ta.c,1138,bool lv_ta_text_is_selected(const lv_obj_t * ta),3.0,1.5,1.5,0.0,16,12,17,2,3,2,0,1,false
lvgl\src\lv_objx\lv_ta.c,1839,"static void update_cursor_position_on_click(lv_obj_t * ta, lv_signal_t sign, lv_indev_t * click_source)",2.9761906,1.4761904,1.5,0.0,84,62,74,2,3,2,0,1,false
lvgl\src\lv_objx\lv_label.c,423,"void lv_label_set_anim_speed(lv_obj_t * label, uint16_t anim_speed)",2.9666667,1.4666667,1.5,0.0,15,11,16,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme.c,110,lv_theme_t * lv_theme_get_current(void),2.9545455,1.4545455,1.5,0.0,11,8,15,2,3,2,0,1,false
lvgl\src\lv_objx\lv_imgbtn.c,282,"static bool lv_imgbtn_design(lv_obj_t * imgbtn, const lv_area_t * mask, lv_design_mode_t mode)",2.9520547,1.4520547,1.5,0.0,73,53,100,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,669,static void tabview_init(void),2.951613,0.9516129,2.0,0.0,62,59,118,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,720,static void tabview_init(void),2.9491525,0.9491525,2.0,0.0,59,56,112,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,696,static void tabview_init(void),2.9491525,0.9491525,2.0,0.0,59,56,112,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,154,static void btn_init(void),2.9464285,0.9464286,2.0,0.0,56,53,106,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,148,static void btn_init(void),2.9423077,0.9423077,2.0,0.0,52,49,98,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,561,static void list_init(void),2.9423077,0.9423077,2.0,0.0,52,49,98,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,566,static void list_init(void),2.9375,0.9375,2.0,0.0,48,45,90,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,103,static void btn_init(void),2.93617,0.9361702,2.0,0.0,47,44,88,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,487,static void cb_init(void),2.9347825,0.9347826,2.0,0.0,46,43,86,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,465,static void cb_init(void),2.9347825,0.9347826,2.0,0.0,46,43,86,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,105,static void btn_init(void),2.9302325,0.9302326,2.0,0.0,43,40,80,1,2,2,0,1,false
lvgl\src\lv_objx\lv_ta.c,1210,void lv_ta_clear_selection(lv_obj_t * ta),2.9285715,1.4285715,1.5,0.0,14,10,14,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,399,static void cb_init(void),2.9230769,0.9230769,2.0,0.0,39,36,72,1,2,2,0,1,false
