"sep=,"
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\primitives.c.xml,ALLEGRO_ANDROID;ALLEGRO_CFG_OPENGL;ALLEGRO_CFG_OPENGLES;ALLEGRO_DIRECT3D;ALLEGRO_IPHONE
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\triangulator.c.xml,POLY_DEBUG;_MSC_VER
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\ttf\allegro5\allegro_ttf.h.xml,ALLEGRO_BCC32;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;ALLEGRO_TTF_SRC;__al_included_allegro5_allegro_ttf_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\ttf\ttf.c.xml,ALIGN_TO_4_PIXEL;ALLEGRO_CFG_OPENGL;DEBUG_CACHE
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\video\allegro5\allegro_video.h.xml,ALLEGRO_BCC32;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;ALLEGRO_VIDEO_SRC;__al_included_allegro_video_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\video\allegro5\internal\aintern_video.h.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\video\ogv.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\video\video.c.xml,ALLEGRO_CFG_VIDEO_HAVE_OGV
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\cosmic_protector\include\cosmic_protector_objc.h.xml,__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\cosmic_protector\include\joypad_c.h.xml,__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\cosmic_protector\include\joypad_handler.h.xml,USE_JOYPAD
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\anim.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\anim.h.xml,__DEMO_ANIM_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\background_scroller.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\background_scroller.h.xml,__DEMO_BACK_SCROLLER__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\credits.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\credits.h.xml,__DEMO_CREDITS_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\defines.h.xml,DEMO_USE_ALLEGRO_GL;__DEMO_DEFINES_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\demodata.h.xml,__DEMODATA_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\fps.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\fps.h.xml,__DEMO_FPS_H__;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\framework.c.xml,ALLEGRO_ANDROID
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\framework.h.xml,__DEMO_FRAMEWORK_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\game.c.xml,DEBUG_EDGES;DEBUG_OBJECTS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\game.h.xml,__GAME_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\gamepad.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\gamepad.h.xml,__DEMO_GAMEPAD_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\gamestate.h.xml,__DEMO_GAMESTATE_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\global.c.xml,ALLEGRO_IPHONE
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\global.h.xml,ALLEGRO_MSVC;__DEMO_GLOBAL_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\intro.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\keyboard.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\keyboard.h.xml,__DEMO_KEYBOARD_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level.h.xml,__LEVEL_H
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level_alloc.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level_alloc.h.xml,__LVLALLOC_H
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level_file.c.xml,DEMO_USE_ALLEGRO_GL
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level_file.h.xml,__LVLFILE_H
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\level_state.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu.h.xml,__DEMO_MENU_H__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu_about.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu_controls.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu_graphics.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\demos\skater\src\menu_main.c.xml,
