File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\magic\fsmagic.c,-22.49517,-25.533632,1.1923077,1.8461539,223,219,452,31,18,26,48,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\io\p\io_self.c,-22.574125,-28.712057,2.4827585,3.6551723,705,698,2900,72,12,29,106,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\lz4\lz4.c,-23.26096,-29.26096,4.46875,1.53125,958,876,1480,143,21,32,49,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\io\p\io_debug.c,-23.659903,-29.459902,2.2666667,3.5333333,611,600,2789,68,14,30,106,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\socket\run.c,-24.015205,-26.46348,1.9310344,0.51724136,1109,506,878,112,22,58,30,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\linux\linux_debug.c,-39.83876,-48.81835,3.9591837,5.020408,1079,1075,2738,194,22,49,246,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\linux\linux_coredump.c,-40.224907,-48.85756,2.6734693,5.9591837,1376,1372,7713,131,10,49,292,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\xnu\xnu_debug.c,-42.71974,-48.84219,3.0408163,3.0816326,1242,1238,2230,149,22,49,151,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\socket\socket.c,-48.40886,-51.485783,1.5,1.5769231,809,801,2247,78,9,52,82,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\sys.c,-76.59186,-78.94371,1.8611112,0.49074075,1208,883,1759,201,30,108,53,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\qnx\src\sigutil.c,-83.62182,-84.77778,1.1284404,0.027522936,576,448,513,123,56,109,3,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\debug_native.c,-171.91559,-180.37164,3.6098902,4.8461537,1453,1440,7393,657,35,182,882,true
