"sep=,"
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg_filter.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg_hw.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg_opt.c.xml,CONFIG_LIBMFX;CONFIG_QSV;CONFIG_SWRESAMPLE;CONFIG_SWSCALE;CONFIG_VAAPI;CONFIG_VIDEOTOOLBOX;FF_API_LAVF_AVCTX;FF_API_LOWRES;HAVE_THREADS
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg_qsv.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg_videotoolbox.c.xml,HAVE_KCVPIXELFORMATTYPE_420YPCBCR10BIPLANARVIDEORANGE;HAVE_UTGETOSTYPEFROMSTRING;kCFCoreFoundationVersionNumber10_7
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffplay.c.xml,CONFIG_AVDEVICE;CONFIG_AVFILTER;CONFIG_MMSH_PROTOCOL;CONFIG_RTSP_DEMUXER;DEBUG;DEBUG_SYNC;USE_ONEPASS_SUBTITLE_RENDER;_WIN32
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffprobe.c.xml,CONFIG_AVDEVICE;FF_API_LAVF_AVCTX;FF_API_PRIVATE_OPT;FF_API_PSEUDOPAL;HAVE_THREADS;pthread_mutex_lock;pthread_mutex_unlock
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\012v.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\4xm.c.xml,HAVE_BIGENDIAN
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\8bps.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\8svx.c.xml,CONFIG_EIGHTSVX_EXP_DECODER;CONFIG_EIGHTSVX_FIB_DECODER
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\a64colors.h.xml,AVCODEC_A64COLORS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\a64multienc.c.xml,CONFIG_A64MULTI5_ENCODER;CONFIG_A64MULTI_ENCODER
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\a64tables.h.xml,AVCODEC_A64TABLES_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac.h.xml,AVCODEC_AAC_H;USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac_ac3_parser.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac_ac3_parser.h.xml,AVCODEC_AAC_AC3_PARSER_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac_adtstoasc_bsf.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac_defines.h.xml,AVCODEC_AAC_DEFINES_H;USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aac_parser.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aaccoder.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aaccoder_trellis.h.xml,AVCODEC_AACCODER_TRELLIS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aaccoder_twoloop.h.xml,AVCODEC_AACCODER_TWOLOOP_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacdec.c.xml,ARCH_ARM;ARCH_MIPS;VMUL2;VMUL2S;VMUL4;VMUL4S
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacdec_fixed.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacdec_template.c.xml,USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacdectab.h.xml,AVCODEC_AACDECTAB_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc.h.xml,AVCODEC_AACENC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_is.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_is.h.xml,AVCODEC_AACENC_IS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_ltp.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_ltp.h.xml,AVCODEC_AACENC_LTP_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_pred.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_pred.h.xml,AVCODEC_AACENC_PRED_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_quantization.h.xml,AVCODEC_AACENC_QUANTIZATION_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_quantization_misc.h.xml,AVCODEC_AACENC_QUANTIZATION_MISC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_tns.c.xml,TNS_ENABLE_COEF_COMPRESSION
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_tns.h.xml,AVCODEC_AACENC_TNS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenc_utils.h.xml,AVCODEC_AACENC_UTILS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenctab.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacenctab.h.xml,AVCODEC_AACENCTAB_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps.c.xml,USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps.h.xml,AVCODEC_AACPS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_fixed.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_fixed_tablegen.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_fixed_tablegen.h.xml,AVCODEC_AACPS_FIXED_TABLEGEN_H;CONFIG_HARDCODED_TABLES
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_float.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_tablegen.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_tablegen.h.xml,AVCODEC_AACPS_TABLEGEN_H;CONFIG_HARDCODED_TABLES
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacps_tablegen_template.c.xml,USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsdata.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsdsp.h.xml,AVCODEC_AACPSDSP_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsdsp_fixed.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsdsp_float.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsdsp_template.c.xml,USE_FIXED
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacpsy.c.xml,ARCH_MIPS;calc_thr_3gpp;psy_hp_filter
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr.c.xml,ARCH_MIPS
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr.h.xml,AVCODEC_AACSBR_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr_fixed.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr_fixed_tablegen.h.xml,AVCODEC_AACSBR_FIXED_TABLEGEN_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr_tablegen.h.xml,AVCODEC_AACSBR_TABLEGEN_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr_tablegen_common.h.xml,AVCODEC_AACSBR_TABLEGEN_COMMON_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbr_template.c.xml,USE_FIXED;sbr_qmf_analysis;sbr_qmf_synthesis
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aacsbrdata.h.xml,AVCODEC_AACSBRDATA_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aactab.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aactab.h.xml,AVCODEC_AACTAB_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aandcttab.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aandcttab.h.xml,AVCODEC_AANDCTTAB_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\aacpsdsp_init_aarch64.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\asm-offsets.h.xml,AVCODEC_AARCH64_ASM_OFFSETS_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\cabac.h.xml,AVCODEC_AARCH64_CABAC_H;HAVE_INLINE_ASM
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\fft_init_aarch64.c.xml,CONFIG_MDCT
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\fmtconvert_init.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\h264chroma_init_aarch64.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\h264dsp_init_aarch64.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\h264pred_init.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\h264qpel_init_aarch64.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\hpeldsp_init_aarch64.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\libavcodec\aarch64\idct.h.xml,AVCODEC_AARCH64_IDCT_H
